Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2018,12,30,22:02:46,17.2361,146.5719,35,4.6,"128km SE of Pagan, Northern Mariana Islands",1546207366
2018,12,30,21:51:20,0.9506,126.1752,35,4.5,"123km ESE of Bitung, Indonesia",1546206680
2018,12,30,18:50:51,-0.8637,137.7089,10,4.2,"Papua region, Indonesia",1546195851
2018,12,30,18:34:57,1.6507,126.3645,40.2,5.1,"133km E of Bitung, Indonesia",1546194897
2018,12,30,18:22:37,-0.5978,97.9026,21.4,4.1,"134km WNW of Sikabaluan, Indonesia",1546194157
2018,12,30,17:46:08,-4.4762,138.181,102.7,4.1,"212km ESE of Enarotali, Indonesia",1546191968
2018,12,30,15:47:05,17.6736,147.3797,10,4.4,"177km ESE of Pagan, Northern Mariana Islands",1546184825
2018,12,30,15:39:19,14.8932,99.1007,10,4.3,"32km N of Si Sawat, Thailand",1546184359
2018,12,30,14:19:10,-5.5126,148.1613,200.9,4.9,"124km NNE of Finschhafen, Papua New Guinea",1546179550
2018,12,30,13:10:12,4.6684,125.6025,88.3,4.4,"82km S of Sarangani, Philippines",1546175412
2018,12,30,08:39:12,-2.677,102.349,166,5.7,"89km NW of Lubuklinggau, Indonesia",1546159152
2018,12,30,06:51:01,-4.9,145.3337,151,4.5,"62km NW of Madang, Papua New Guinea",1546152661
2018,12,30,04:10:55,-9.5353,118.9551,59.9,4.8,"5km W of Kawangohari, Indonesia",1546143055
2018,12,29,22:04:55,-5.5341,147.3035,175.3,4.6,"133km NNW of Finschhafen, Papua New Guinea",1546121095
2018,12,29,16:12:07,-2.265,99.8337,24.8,4.8,"101km SE of Muara Siberut, Indonesia",1546099927
2018,12,29,15:34:37,-5.6661,151.69,48.4,5.1,"158km SSW of Kokopo, Papua New Guinea",1546097677
2018,12,29,14:41:21,5.8363,126.8628,83.7,4.4,"95km SE of Pondaguitan, Philippines",1546094481
2018,12,29,13:55:50,5.9658,126.458,82.9,4.2,"53km SE of Pondaguitan, Philippines",1546091750
2018,12,29,11:22:09,-19.4675,169.4307,10,4.1,"19km ENE of Isangel, Vanuatu",1546082529
2018,12,29,11:11:08,-11.4653,163.6715,10,4.5,"221km ESE of Kirakira, Solomon Islands",1546081868
2018,12,29,11:09:34,5.5905,126.4456,95.7,4,"90km SSE of Pondaguitan, Philippines",1546081774
2018,12,29,09:13:01,5.79,126.9342,61.4,5.3,"104km SE of Pondaguitan, Philippines",1546074781
2018,12,29,08:23:16,0.8165,97.3861,25.9,4.7,"185km WSW of Sibolga, Indonesia",1546071796
2018,12,29,08:15:26,1.0774,97.3382,25.9,5.2,"176km WSW of Sibolga, Indonesia",1546071326
2018,12,29,04:47:59,5.9416,126.949,77.3,4.4,"97km ESE of Pondaguitan, Philippines",1546058879
2018,12,29,04:29:03,5.8539,126.7265,83.6,4.2,"82km SE of Pondaguitan, Philippines",1546057743
2018,12,29,03:45:46,5.9998,126.9477,86.7,5.3,"94km ESE of Pondaguitan, Philippines",1546055146
2018,12,29,03:39:09,5.8983,126.9209,60.2,7,"96km ESE of Pondaguitan, Philippines",1546054749
2018,12,29,00:35:25,-7.6678,127.4581,194.3,4.1,"229km ENE of Dili, East Timor",1546043725
2018,12,28,16:20:43,14.3162,145.4054,94.6,4.5,"28km NE of Rota, Northern Mariana Islands",1546014043
2018,12,28,15:39:27,-5.8632,151.2507,67.5,4.2,"127km ESE of Kimbe, Papua New Guinea",1546011567
2018,12,28,14:36:46,-21.3669,171.3421,10,4.8,"135km NNW of Ile Hunter, New Caledonia",1546007806
2018,12,28,13:36:29,13.6994,120.9528,145.1,4.3,"4km SSE of Talaga, Philippines",1546004189
2018,12,28,11:47:01,15.3187,120.6703,165.9,4.6,"1km ESE of Concepcion, Philippines",1545997621
2018,12,28,03:03:33,-1.4498,134.0858,41,5.8,"64km S of Manokwari, Indonesia",1545966213
2018,12,27,22:22:02,-6.3262,130.2271,145,4.3,"216km NNW of Saumlaki, Indonesia",1545949322
2018,12,27,17:12:26,0.4084,122.6406,104.9,4.2,"25km SSE of Molobulahe, Indonesia",1545930746
2018,12,27,16:48:21,2.6532,128.5314,232.4,4.2,"117km NNE of Tobelo, Indonesia",1545929301
2018,12,27,16:46:09,12.8155,93.5007,75.1,4.4,"150km NE of Bamboo Flat, India",1545929169
2018,12,27,10:32:47,-4.0691,140.4433,39.3,4.3,"159km S of Abepura, Indonesia",1545906767
2018,12,27,08:13:41,-6.0476,146.147,36,4.5,"41km NE of Kainantu, Papua New Guinea",1545898421
2018,12,27,06:17:22,-23.0969,168.3624,10,4,"102km ESE of Vao, New Caledonia",1545891442
2018,12,27,05:39:12,-10.0685,161.136,68.8,5.3,"95km WNW of Kirakira, Solomon Islands",1545889152
2018,12,27,04:33:05,-1.4546,145.6263,10,4.5,"193km WNW of Lorengau, Papua New Guinea",1545885185
2018,12,27,02:31:19,5.353,125.6669,100.2,4.4,"23km ESE of Sarangani, Philippines",1545877879
2018,12,27,02:20:46,-5.5589,152.7997,10,4.7,"123km SSW of Taron, Papua New Guinea",1545877246
2018,12,26,22:15:11,-14.8562,167.3103,147.2,4.9,"35km NE of Port-Olry, Vanuatu",1545862511
2018,12,26,17:02:39,-0.9117,137.2807,10,4.3,"Papua region, Indonesia",1545843759
2018,12,26,14:36:21,8.0837,93.6636,88.2,4.3,"40km ENE of Mohean, India",1545834981
2018,12,26,13:34:41,5.6115,126.3137,62,4.5,"81km ESE of Caburan, Philippines",1545831281
2018,12,26,12:22:23,-8.3328,116.7449,23.2,4.7,"8km NE of Sambelia, Indonesia",1545826943
2018,12,26,10:23:16,3.0514,97.4219,58.1,4.4,"118km W of Kabanjahe, Indonesia",1545819796
2018,12,26,05:54:40,-9.0139,158.1425,10,4.7,"144km SW of Dadali, Solomon Islands",1545803680
2018,12,26,04:03:40,0.4047,122.6062,140.2,4.7,"25km S of Molobulahe, Indonesia",1545797020
2018,12,26,03:30:22,-16.7605,167.4965,10,4.6,"71km S of Lakatoro, Vanuatu",1545795022
2018,12,26,03:26:41,0.7688,122.2493,102.1,4.3,"28km NNW of Tilamuta, Indonesia",1545794801
